id,titles,primary_title,year,rating,num_votes
tt0111667,The War,The War,1994,6.8,11888
tt0111686,A Nightmare on Elm Street 7: The Real Story%Wes Craven's New Nightmare%The New Nightmare%New Nightmare%A Nightmare on Elm Street Part 7: The Ascension%A Nightmare on Elm Street Part 7: Freddy's Finale,Wes Craven's New Nightmare,1994,6.4,49995
tt0111693,To Have and to Hold%Significant Other%When a Man Loves a Woman,When a Man Loves a Woman,1994,6.6,19957
tt0111732,With Honors,With Honors,1994,6.7,13080
tt0111742,Wolf,Wolf,1994,6.2,51735
tt0111756,Wyatt Earp,Wyatt Earp,1994,6.7,44702
tt0111797,Yin shi nan nu%Eat Drink Man Woman,Eat Drink Man Woman,1994,7.8,18205
tt0111845,Under the Olive Trees%Zire darakhatan zeyton%Through the Olive Trees,Through the Olive Trees,1994,7.8,6181
tt0112255,3 Ninjas: Knuckle Up,3 Ninjas: Knuckle Up,1993,4.3,5278
tt0112281,"Ace Ventura: When Nature Calls%Ace Ventura, Pet Detective: The Curse of the Wakiki%Ace Ventura Goes to Africa",Ace Ventura: When Nature Calls,1995,6.4,199366
tt0112288,The Addiction,The Addiction,1995,6.5,8747
tt0112302,Tom and Huck,Tom and Huck,1995,5.5,9721
tt0112346,The American President,The American President,1995,6.8,51053
tt0112368,Angus,Angus,1995,6.7,6265
tt0112379,Antonia%Antonia's Line,Antonia's Line,1995,7.4,8081
tt0112384,Apollo 13: The IMAX Experience%Apollo 13,Apollo 13,1995,7.6,262750
tt0112401,Assassins,Assassins,1995,6.3,76569
tt0112431,Babe,Babe,1995,6.8,115257
tt0112435,The Baby-Sitters Club,The Baby-Sitters Club,1995,5.8,5332
tt0112442,Bulletproof Hearts%Bad Boys,Bad Boys,1995,6.9,235945
tt0112445,Badkonake sefid%The White Balloon,The White Balloon,1995,7.7,6539
tt0112453,Balto,Balto,1995,7.1,39013
tt0112461,The Basketball Diaries,The Basketball Diaries,1995,7.3,100110
tt0112462,Batman Forever%Batman 3%Forever,Batman Forever,1995,5.4,232071
tt0112471,Before Sunrise,Before Sunrise,1995,8.1,263937
tt0112499,The Big Green,The Big Green,1995,5.6,9133
tt0112508,Billy Madison,Billy Madison,1995,6.4,128882
tt0112541,Blue in the Face,Blue in the Face,1995,6.7,8927
tt0112571,Boys on the Side,Boys on the Side,1995,6.5,11640
tt0112572,The Brady Bunch Movie,The Brady Bunch Movie,1995,6.0,20324
tt0112573,Braveheart,Braveheart,1995,8.3,943384
tt0112579,The Bridges of Madison County,The Bridges of Madison County,1995,7.6,71388
tt0112585,The Brothers McMullen,The Brothers McMullen,1995,6.6,7273
tt0112602,Bushwhacked,Bushwhacked,1995,5.6,5541
tt0112625,Candyman: Farewell to the Flesh%Candyman 2: Farewell to the Flesh,Candyman: Farewell to the Flesh,1995,5.3,10291
tt0112637,Carrington,Carrington,1995,6.8,5014
tt0112641,Casino,Casino,1995,8.2,454359
tt0112642,Casper,Casper,1995,6.1,117286
tt0112651,The Celluloid Closet,The Celluloid Closet,1995,7.8,6067
tt0112679,Circle of Friends,Circle of Friends,1995,6.6,7924
tt0112682,La cité des enfants perdus%The City of Lost Children,The City of Lost Children,1995,7.5,63985
tt0112688,Clockers,Clockers,1995,6.9,20387
tt0112697,I Was a Teenage Teenager%No Worries%Clueless,Clueless,1995,6.8,178944
tt0112715,Congo,Congo,1995,5.3,41606
tt0112722,Copycat,Copycat,1995,6.6,53014
tt0112740,Crimson Tide,Crimson Tide,1995,7.3,99508
tt0112744,The Crossing Guard,The Crossing Guard,1995,6.3,12568
tt0112750,Crying Freeman,Crying Freeman,1995,6.5,11707
tt0112757,The Cure,The Cure,1995,7.7,9075
tt0112760,Cutthroat Island,Cutthroat Island,1995,5.7,25609
tt0112769,La Cérémonie%La cérémonie,La Cérémonie,1995,7.5,9850
tt0112792,My Posse Don't Do Homework%Dangerous Minds,Dangerous Minds,1995,6.5,47731
tt0112817,Jim Jarmusch's Dead Man%Dead Man,Dead Man,1995,7.6,88838
tt0112818,Dead Man Walking,Dead Man Walking,1995,7.5,87223
tt0112819,Dead Presidents,Dead Presidents,1995,6.9,19343
tt0112851,Pistolero%Desperado%El Mariachi 2,Desperado,1995,7.2,169020
tt0112857,Devil in a Blue Dress,Devil in a Blue Dress,1995,6.7,17151
tt0112864,"Die Hard: New York%Die Hard: With a Vengeance%Die Hard with a Vengeance%Duro de Matar 3, La Venganza%Simon Says",Die Hard with a Vengeance,1995,7.6,357786
tt0112870,The Big-Hearted Will Win the Bride%The Brave Heart Will Take the Bride%Dilwale Dulhania Le Jayenge%The Big-Hearted Will Take the Bride Away,Dilwale Dulhania Le Jayenge,1995,8.1,62060
tt0112883,Don Juan DeMarco%Don Juan DeMarco and the Centerfold,Don Juan DeMarco,1994,6.7,47482
tt0112887,The Doom Generation,The Doom Generation,1995,6.2,13629
tt0112896,Dracula: Dead and Loving It,Dracula: Dead and Loving It,1995,5.9,38304
tt0112913,Do lok tin si%Duoluo Tianshi%Fallen Angels,Fallen Angels,1995,7.7,24858
tt0112950,Empire%Empire Records%Rock & Fun,Empire Records,1995,6.7,48686
tt0112966,The Englishman Who Went Up a Hill But Came Down a Mountain,The Englishman Who Went Up a Hill But Came Down a Mountain,1995,6.6,16226
tt0113010,Fair Game,Fair Game,1995,4.3,11990
tt0113041,Father of the Bride Part II,Father of the Bride Part II,1995,6.1,33655
tt0113071,First Knight,First Knight,1995,6.0,66744
tt0113083,La flor de mi secreto%The Flower of My Secret,The Flower of My Secret,1995,7.0,10156
tt0113089,Fluke,Fluke,1995,6.7,6403
tt0113097,Forget Paris,Forget Paris,1995,6.5,11238
tt0113101,Four Rooms and a Hotel%Four Rooms,Four Rooms,1995,6.8,96739
tt0113114,Free Willy 2: The Adventure Home,Free Willy 2: The Adventure Home,1995,5.1,16850
tt0113117,Paris Match%French Kiss,French Kiss,1995,6.6,46270
tt0113118,Friday,Friday,1995,7.3,97943
tt0113161,Get Shorty,Get Shorty,1995,6.9,74687
