ngrams,max_features,max_df,min_df,avg_recall,avg_distance,intercept,pred1
"(1, 3)",5000,0.3,0.01,0.0370891817063316,0.4587095077179256,0.10351479672984254,[-0.04129497]
"(1, 3)",5000,1.0,1.0,0.056744378524237984,0.639753034212474,0.15983725651345626,[-0.00130755]
"(1, 3)",5000,1.0,0.005,0.04303508735903778,0.5306742110216697,0.1044361967842892,[-0.01126777]
"(1, 3)",5000,1.0,0.01,0.035159057382816314,0.4495029006331821,0.0848383564857193,[-0.02568217]
"(1, 3)",8000,0.1,1.0,0.05795301199754482,0.6719285124471743,0.14783774990369536,[0.01406647]
"(1, 3)",8000,0.1,0.005,0.04011453886833228,0.5318512861208067,0.0934409076507028,[-0.00682466]
"(1, 3)",8000,0.1,0.01,0.041960205543341234,0.4451812640738731,0.12553066385674932,[-0.06219165]
"(1, 3)",8000,0.3,1.0,0.05804469517741105,0.6723820020786869,0.1543598209192513,[0.01111517]
"(1, 3)",8000,0.3,0.005,0.04339073849587823,0.5385993743538386,0.11119107719736526,[-0.01469161]
"(1, 3)",8000,0.3,0.01,0.0370891817063316,0.4587095077179256,0.10351479672984254,[-0.04129497]
"(1, 3)",8000,1.0,1.0,0.05771333376407008,0.6665140565425289,0.1455446810813439,[0.01376749]
"(1, 3)",8000,1.0,0.005,0.04303508735903778,0.5306742110216697,0.1044361967842892,[-0.01126777]
"(1, 3)",8000,1.0,0.01,0.035159057382816314,0.4495029006331821,0.0848383564857193,[-0.02568217]
"(1, 1)",5000,0.05,1.0,0.05929115125510461,0.6381162357539601,0.16170350558944765,[0.00121181]
"(1, 1)",5000,0.5,1.0,0.06040537968341235,0.6568497577226659,0.18303590600617028,[-0.00365903]
"(1, 1)",5000,1.0,1.0,0.061287670057272765,0.6538288378513892,0.18585170587528024,[-0.00466304]
"(1, 1)",10000,0.05,1.0,0.060554539597543824,0.6751525431661368,0.1817167944547012,[0.00225771]
"(1, 1)",10000,0.5,1.0,0.06091493957536245,0.6888573506223249,0.19296338049537187,[0.00127138]
"(1, 1)",10000,1.0,1.0,0.06064792917112361,0.686117221369936,0.19056466626986326,[0.00121402]
"(1, 1)",15000,0.05,1.0,0.059568921186156115,0.6867363230985936,0.18672009999400066,[0.00156726]
"(1, 1)",15000,0.5,1.0,0.060405216245548926,0.6996644148838204,0.19160084770195612,[0.00408862]
"(1, 1)",15000,1.0,1.0,0.06190834910130745,0.6969114250300183,0.19278970479107044,[0.00498771]
"(1, 3)",5000,0.05,1.0,0.0575254811098325,0.6403756357509249,0.1670741749768987,[-0.00399525]
"(1, 3)",5000,0.5,1.0,0.055702015186824216,0.6426626265771164,0.15470811301757215,[0.00065201]
"(1, 3)",5000,1.0,1.0,0.056744378524237984,0.639753034212474,0.15983725651345626,[-0.00130755]
"(1, 3)",10000,0.05,1.0,0.059126822254631714,0.6839885803408118,0.16083273037380574,[0.0121374]
"(1, 3)",10000,0.5,1.0,0.05899400600075585,0.6827747628973136,0.15563520016342045,[0.01409336]
"(1, 3)",10000,1.0,1.0,0.058186190150605326,0.6801075920979485,0.16137034763377167,[0.00965294]
"(1, 3)",15000,0.05,1.0,0.060037653402597625,0.7101032130701499,0.17383914844584908,[0.01357865]
"(1, 3)",15000,0.5,1.0,0.057058212153450076,0.7083449086530641,0.1542169774526423,[0.0170539]
"(1, 3)",15000,1.0,1.0,0.05945926953379652,0.7055953532846968,0.17560169289224534,[0.01099967]
"(1, 5)",5000,0.05,1.0,0.05659194236634394,0.6384862855756835,0.1582335155070231,[-0.00095796]
"(1, 5)",5000,0.5,1.0,0.056012172982973465,0.6425171021197836,0.15015410705227392,[0.0036336]
"(1, 5)",5000,1.0,1.0,0.05656809345663946,0.6386410908753212,0.15966031966154282,[-0.00176404]
"(1, 5)",10000,0.05,1.0,0.059390668151784586,0.6818654591383216,0.16506820638281228,[0.01008523]
"(1, 5)",10000,0.5,1.0,0.057974698442913024,0.6813694746296417,0.15365020509965815,[0.01323372]
"(1, 5)",10000,1.0,1.0,0.058053414118448124,0.6783882232916506,0.14521484284530986,[0.01673173]
"(1, 5)",15000,0.05,1.0,0.0580324924571211,0.7049237361632281,0.15697819883877948,[0.0166145]
"(1, 5)",15000,0.5,1.0,0.05782315937451031,0.7032992092249958,0.14965209972477556,[0.01908329]
"(1, 5)",15000,1.0,1.0,0.05787749625270237,0.7005392229423767,0.14701541614977034,[0.01977355]
"(2, 2)",10000,0.05,1.0,0.04826691559184323,0.6837146760069782,0.15292831413172014,[-0.00014928]
"(2, 2)",10000,0.01,1.0,0.048766273257427946,0.6862705554450178,0.16494176715790226,[-0.0043435]
"(2, 2)",10000,0.7,1.0,0.04887975084313061,0.6822394640926083,0.16047469042959764,[-0.00309682]
"(2, 2)",10000,1.0,1.0,0.04887975084313061,0.6822394640926083,0.16047469042959764,[-0.00309682]
"(2, 2)",15000,0.05,1.0,0.04656649116952146,0.7020267102181773,0.14651269270221465,[0.0041446]
"(2, 2)",15000,0.01,1.0,0.048146397795054266,0.7041232897368401,0.1556100011883561,[0.00298957]
"(2, 2)",15000,0.7,1.0,0.046186165315519126,0.6997385400097222,0.145966391692673,[0.00336995]
"(2, 2)",15000,1.0,1.0,0.046186165315519126,0.6997385400097222,0.145966391692673,[0.00336995]
"(2, 2)",20000,0.05,1.0,0.04537530305036874,0.7150546557292283,0.14032414214573558,[0.00753871]
"(2, 2)",20000,0.01,1.0,0.04678440381165949,0.7174870027735435,0.14767187716668667,[0.00705961]
"(2, 2)",20000,0.7,1.0,0.046153704716107496,0.714841046306164,0.15113241984458686,[0.00427639]
"(2, 2)",20000,1.0,1.0,0.046153704716107496,0.714841046306164,0.15113241984458686,[0.00427639]
"(2, 3)",10000,0.05,1.0,0.0452889906265185,0.6506810770982497,0.1384378633776836,[-0.00471809]
"(2, 3)",10000,0.01,1.0,0.04628410632499562,0.6551202916339969,0.1417636566094559,[-0.00397988]
"(2, 3)",10000,0.7,1.0,0.04735816370524609,0.6461805326492222,0.14996660574683754,[-0.00882562]
"(2, 3)",10000,1.0,1.0,0.04735816370524609,0.6461805326492222,0.14996660574683754,[-0.00882562]
"(2, 3)",15000,0.05,1.0,0.04730310111022062,0.6773455838534007,0.14828540048106947,[-0.00079994]
"(2, 3)",15000,0.01,1.0,0.04685297778383087,0.6817145799821712,0.1437363453509003,[0.00161914]
"(2, 3)",15000,0.7,1.0,0.04685113296794686,0.6738599939278341,0.1524765429521706,[-0.00427028]
"(2, 3)",15000,1.0,1.0,0.04685113296794686,0.6738599939278341,0.1524765429521706,[-0.00427028]
"(2, 3)",20000,0.05,1.0,0.04664030538951974,0.6866296893778495,0.15287390469551682,[-0.00184355]
"(2, 3)",20000,0.01,1.0,0.04630051356815835,0.690244375194434,0.14054293284886746,[0.00400807]
"(2, 3)",20000,0.7,1.0,0.046854762059629206,0.6824576058117106,0.1518998398092821,[-0.00202192]
"(2, 3)",20000,1.0,1.0,0.046854762059629206,0.6824576058117106,0.1518998398092821,[-0.00202192]
"(3, 3)",10000,0.05,1.0,0.05611021540191619,0.624292179322507,0.18585369199080742,[-0.02197124]
"(3, 3)",10000,0.01,1.0,0.05714383172152664,0.6257386478777855,0.18987295280745406,[-0.02224295]
"(3, 3)",10000,0.7,1.0,0.05611021540191619,0.624292179322507,0.18585369199080742,[-0.02197124]
"(3, 3)",10000,1.0,1.0,0.05611021540191619,0.624292179322507,0.18585369199080742,[-0.02197124]
"(3, 3)",15000,0.05,1.0,0.05423776750681583,0.6470083975492307,0.1850973692159151,[-0.01715596]
"(3, 3)",15000,0.01,1.0,0.053455088643391664,0.6480874683433824,0.18547950845725703,[-0.01823438]
"(3, 3)",15000,0.7,1.0,0.05423776750681583,0.6470083975492307,0.1850973692159151,[-0.01715596]
"(3, 3)",15000,1.0,1.0,0.05423776750681583,0.6470083975492307,0.1850973692159151,[-0.01715596]
"(3, 3)",20000,0.05,1.0,0.047954235141725615,0.672102353133251,0.16905231188645156,[-0.01112572]
"(3, 3)",20000,0.01,1.0,0.048693776563224545,0.6730818354188943,0.17406976704844712,[-0.01220177]
"(3, 3)",20000,0.7,1.0,0.047954235141725615,0.672102353133251,0.16905231188645156,[-0.01112572]
"(3, 3)",20000,1.0,1.0,0.047954235141725615,0.672102353133251,0.16905231188645156,[-0.01112572]
"(3, 3)",5000,0.01,1.0,0.05934906105114666,0.6046834431279763,0.19064509127794269,[-0.02648675]
"(3, 3)",5000,1.0,1.0,0.05895619592025304,0.6031254157019228,0.1880337156513051,[-0.02598068]
"(3, 3)",7500,0.01,1.0,0.05769710203737761,0.6157827696003564,0.18762079354997754,[-0.02336869]
"(3, 3)",7500,1.0,1.0,0.057329191026448054,0.6143421805052335,0.18550185459577678,[-0.02313214]
"(3, 3)",1000,0.01,1.0,0.08448627322648108,0.5763696422972979,0.22187422208549612,[-0.01649355]
"(3, 3)",1000,1.0,1.0,0.08242849459547401,0.5740059290487797,0.21541596549290715,[-0.01626713]
"(3, 4)",5000,0.01,1.0,0.059663799372797845,0.5939435542540806,0.1830992801202392,[-0.02472431]
"(3, 4)",5000,1.0,1.0,0.060031127843530006,0.592209950230046,0.1845368475101237,[-0.02570231]
"(3, 4)",7500,0.01,1.0,0.05759960788439063,0.6007865661321476,0.1795649055445625,[-0.02344446]
"(3, 4)",7500,1.0,1.0,0.05807412467432841,0.5989058723433238,0.17973678577599816,[-0.02340475]
"(3, 4)",1000,0.01,1.0,0.08406194110351486,0.578304436163035,0.21835741566617944,[-0.01386538]
"(3, 4)",1000,1.0,1.0,0.08448864071492648,0.5724900933516464,0.21517506125263688,[-0.01310211]
"(3, 5)",5000,0.01,1.0,0.05919170860965641,0.5915491494530899,0.18248767374690852,[-0.02594127]
"(3, 5)",5000,1.0,1.0,0.058937826711505714,0.5896607631290408,0.18214296368352434,[-0.02679944]
"(3, 5)",7500,0.01,1.0,0.05820062728555219,0.5974290517592618,0.17902874169424948,[-0.02321806]
"(3, 5)",7500,1.0,1.0,0.05826593945610652,0.5955407562384673,0.1784054595331862,[-0.02332636]
"(3, 5)",1000,0.01,1.0,0.08642371080635866,0.5744750682473339,0.22148162247340222,[-0.01361633]
"(3, 5)",1000,1.0,1.0,0.08373743943474175,0.5716509598813054,0.2140585944478693,[-0.0139147]
